E.coli./09.fa.txt_orf00002 D.turgidum./08.fa.txt_orf01736
E.coli./09.fa.txt_orf00067_rev D.turgidum./08.fa.txt_orf01880
E.coli./09.fa.txt_orf00068_rev D.turgidum./08.fa.txt_orf01457
E.coli./09.fa.txt_orf00069_rev D.turgidum./08.fa.txt_orf01903
E.coli./09.fa.txt_orf00070_rev D.turgidum./08.fa.txt_orf01181
E.coli./09.fa.txt_orf00071 D.turgidum./08.fa.txt_orf00023
E.coli./09.fa.txt_orf00072_rev D.turgidum./08.fa.txt_orf00457
E.coli./09.fa.txt_orf00073_rev D.turgidum./08.fa.txt_orf01966_rev
E.coli./09.fa.txt_orf00074_rev D.turgidum./08.fa.txt_orf00368_rev
E.coli./09.fa.txt_orf00075_rev D.turgidum./08.fa.txt_orf02180_rev
E.coli./09.fa.txt_orf00076_rev D.turgidum./08.fa.txt_orf00099
E.coli./09.fa.txt_orf00079_rev D.turgidum./08.fa.txt_orf02197_rev
E.coli./09.fa.txt_orf00081 D.turgidum./08.fa.txt_orf02008_rev
E.coli./09.fa.txt_orf00082 D.turgidum./08.fa.txt_orf00150
E.coli./09.fa.txt_orf00083_rev D.turgidum./08.fa.txt_orf00692
E.coli./09.fa.txt_orf00084_rev D.turgidum./08.fa.txt_orf00693
E.coli./09.fa.txt_orf00086_rev D.turgidum./08.fa.txt_orf00691
E.coli./09.fa.txt_orf00088_rev D.turgidum./08.fa.txt_orf01433
E.coli./09.fa.txt_orf00091 D.turgidum./08.fa.txt_orf00757
E.coli./09.fa.txt_orf00092_rev D.turgidum./08.fa.txt_orf01503
E.coli./09.fa.txt_orf00093_rev D.turgidum./08.fa.txt_orf01502
E.coli./09.fa.txt_orf00094_rev D.turgidum./08.fa.txt_orf01505
E.coli./09.fa.txt_orf00095_rev D.turgidum./08.fa.txt_orf01501
E.coli./09.fa.txt_orf00097 D.turgidum./08.fa.txt_orf00853
E.coli./09.fa.txt_orf00098 D.turgidum./08.fa.txt_orf00463_rev
E.coli./09.fa.txt_orf00100 D.turgidum./08.fa.txt_orf00193_rev
E.coli./09.fa.txt_orf00101 D.turgidum./08.fa.txt_orf01498
E.coli./09.fa.txt_orf00102 D.turgidum./08.fa.txt_orf01499
E.coli./09.fa.txt_orf00103 D.turgidum./08.fa.txt_orf00247_rev
E.coli./09.fa.txt_orf00104 D.turgidum./08.fa.txt_orf00948
E.coli./09.fa.txt_orf00105_rev D.turgidum./08.fa.txt_orf00142
E.coli./09.fa.txt_orf00106 D.turgidum./08.fa.txt_orf01588_rev
E.coli./09.fa.txt_orf00107 D.turgidum./08.fa.txt_orf01587_rev
E.coli./09.fa.txt_orf00108 D.turgidum./08.fa.txt_orf02078_rev
E.coli./09.fa.txt_orf00109 D.turgidum./08.fa.txt_orf01583_rev
E.coli./09.fa.txt_orf00110 D.turgidum./08.fa.txt_orf01582_rev
E.coli./09.fa.txt_orf00111 D.turgidum./08.fa.txt_orf01581_rev
E.coli./09.fa.txt_orf00112 D.turgidum./08.fa.txt_orf01580_rev
E.coli./09.fa.txt_orf00113 D.turgidum./08.fa.txt_orf01579_rev
E.coli./09.fa.txt_orf00114 D.turgidum./08.fa.txt_orf01561_rev
E.coli./09.fa.txt_orf00115 D.turgidum./08.fa.txt_orf01576_rev
E.coli./09.fa.txt_orf00116 D.turgidum./08.fa.txt_orf01575_rev
E.coli./09.fa.txt_orf00117 D.turgidum./08.fa.txt_orf01207_rev
E.coli./09.fa.txt_orf00118 D.turgidum./08.fa.txt_orf00916
E.coli./09.fa.txt_orf00119 D.turgidum./08.fa.txt_orf01572_rev
E.coli./09.fa.txt_orf00120 D.turgidum./08.fa.txt_orf01571_rev
E.coli./09.fa.txt_orf00122 D.turgidum./08.fa.txt_orf01059
E.coli./09.fa.txt_orf00124 D.turgidum./08.fa.txt_orf01148
E.coli./09.fa.txt_orf00127 D.turgidum./08.fa.txt_orf01783_rev
E.coli./09.fa.txt_orf00128 D.turgidum./08.fa.txt_orf01327
E.coli./09.fa.txt_orf00129_rev D.turgidum./08.fa.txt_orf00336
E.coli./09.fa.txt_orf00130_rev D.turgidum./08.fa.txt_orf00900
E.coli./09.fa.txt_orf00131_rev D.turgidum./08.fa.txt_orf01131
E.coli./09.fa.txt_orf00132 D.turgidum./08.fa.txt_orf00973_rev
E.coli./09.fa.txt_orf00134_rev D.turgidum./08.fa.txt_orf01122
E.coli./09.fa.txt_orf00136_rev D.turgidum./08.fa.txt_orf01120
E.coli./09.fa.txt_orf00138_rev D.turgidum./08.fa.txt_orf01126
E.coli./09.fa.txt_orf00139_rev D.turgidum./08.fa.txt_orf00976_rev
E.coli./09.fa.txt_orf00140 D.turgidum./08.fa.txt_orf01921_rev
E.coli./09.fa.txt_orf00141 D.turgidum./08.fa.txt_orf00187_rev
E.coli./09.fa.txt_orf00142_rev D.turgidum./08.fa.txt_orf01719_rev
E.coli./09.fa.txt_orf00143 D.turgidum./08.fa.txt_orf02247_rev
E.coli./09.fa.txt_orf00144 D.turgidum./08.fa.txt_orf00669_rev
E.coli./09.fa.txt_orf00145_rev D.turgidum./08.fa.txt_orf01103
E.coli./09.fa.txt_orf00146 D.turgidum./08.fa.txt_orf00238
E.coli./09.fa.txt_orf00148 D.turgidum./08.fa.txt_orf00552
E.coli./09.fa.txt_orf00150 D.turgidum./08.fa.txt_orf00685
E.coli./09.fa.txt_orf00152_rev D.turgidum./08.fa.txt_orf00196_rev
E.coli./09.fa.txt_orf00153 D.turgidum./08.fa.txt_orf02050
E.coli./09.fa.txt_orf00155 D.turgidum./08.fa.txt_orf01202
E.coli./09.fa.txt_orf00156_rev D.turgidum./08.fa.txt_orf01845_rev
E.coli./09.fa.txt_orf00157_rev D.turgidum./08.fa.txt_orf01844_rev
E.coli./09.fa.txt_orf00158_rev D.turgidum./08.fa.txt_orf00498_rev
E.coli./09.fa.txt_orf00159 D.turgidum./08.fa.txt_orf01245
E.coli./09.fa.txt_orf00161_rev D.turgidum./08.fa.txt_orf01624_rev
E.coli./09.fa.txt_orf00162 D.turgidum./08.fa.txt_orf00220
E.coli./09.fa.txt_orf00163_rev D.turgidum./08.fa.txt_orf01104
E.coli./09.fa.txt_orf00164 D.turgidum./08.fa.txt_orf00075
E.coli./09.fa.txt_orf00166 D.turgidum./08.fa.txt_orf00076
E.coli./09.fa.txt_orf00167 D.turgidum./08.fa.txt_orf00210_rev
E.coli./09.fa.txt_orf00168 D.turgidum./08.fa.txt_orf00383
E.coli./09.fa.txt_orf00170_rev D.turgidum./08.fa.txt_orf02185_rev
E.coli./09.fa.txt_orf00171 D.turgidum./08.fa.txt_orf00290
E.coli./09.fa.txt_orf00173 D.turgidum./08.fa.txt_orf01374
E.coli./09.fa.txt_orf00174_rev D.turgidum./08.fa.txt_orf00933_rev
E.coli./09.fa.txt_orf00175_rev D.turgidum./08.fa.txt_orf02066
E.coli./09.fa.txt_orf00176_rev D.turgidum./08.fa.txt_orf01777_rev
E.coli./09.fa.txt_orf00177_rev D.turgidum./08.fa.txt_orf01067
E.coli./09.fa.txt_orf00178_rev D.turgidum./08.fa.txt_orf00142
E.coli./09.fa.txt_orf00180_rev D.turgidum./08.fa.txt_orf00091
E.coli./09.fa.txt_orf00181_rev D.turgidum./08.fa.txt_orf01227_rev
E.coli./09.fa.txt_orf00182_rev D.turgidum./08.fa.txt_orf00315
E.coli./09.fa.txt_orf00183 D.turgidum./08.fa.txt_orf01535_rev
E.coli./09.fa.txt_orf00184_rev D.turgidum./08.fa.txt_orf01134
E.coli./09.fa.txt_orf00185 D.turgidum./08.fa.txt_orf00373
E.coli./09.fa.txt_orf00186_rev D.turgidum./08.fa.txt_orf00813
E.coli./09.fa.txt_orf00187_rev D.turgidum./08.fa.txt_orf01916
E.coli./09.fa.txt_orf00188_rev D.turgidum./08.fa.txt_orf01608
E.coli./09.fa.txt_orf00190_rev D.turgidum./08.fa.txt_orf01009_rev
E.coli./09.fa.txt_orf00191_rev D.turgidum./08.fa.txt_orf00263_rev
E.coli./09.fa.txt_orf00192_rev D.turgidum./08.fa.txt_orf01846_rev
E.coli./09.fa.txt_orf00193 D.turgidum./08.fa.txt_orf01120
E.coli./09.fa.txt_orf00194 D.turgidum./08.fa.txt_orf01425_rev
E.coli./09.fa.txt_orf00196_rev D.turgidum./08.fa.txt_orf00220
E.coli./09.fa.txt_orf00198 D.turgidum./08.fa.txt_orf01332
E.coli./09.fa.txt_orf00200 D.turgidum./08.fa.txt_orf01812
E.coli./09.fa.txt_orf00201 D.turgidum./08.fa.txt_orf01809
E.coli./09.fa.txt_orf00203 D.turgidum./08.fa.txt_orf00328_rev
E.coli./09.fa.txt_orf00206_rev D.turgidum./08.fa.txt_orf02243_rev
E.coli./09.fa.txt_orf00207 D.turgidum./08.fa.txt_orf01076
E.coli./09.fa.txt_orf00208 D.turgidum./08.fa.txt_orf00318_rev
E.coli./09.fa.txt_orf00209_rev D.turgidum./08.fa.txt_orf01354
E.coli./09.fa.txt_orf00211_rev D.turgidum./08.fa.txt_orf01809
E.coli./09.fa.txt_orf00212_rev D.turgidum./08.fa.txt_orf00607_rev
E.coli./09.fa.txt_orf00213 D.turgidum./08.fa.txt_orf01671_rev
E.coli./09.fa.txt_orf00216 D.turgidum./08.fa.txt_orf01657
E.coli./09.fa.txt_orf00218 D.turgidum./08.fa.txt_orf01122
E.coli./09.fa.txt_orf00219_rev D.turgidum./08.fa.txt_orf02197_rev
E.coli./09.fa.txt_orf00222_rev D.turgidum./08.fa.txt_orf02053_rev
E.coli./09.fa.txt_orf00224_rev D.turgidum./08.fa.txt_orf01916
E.coli./09.fa.txt_orf00226_rev D.turgidum./08.fa.txt_orf01271
E.coli./09.fa.txt_orf00227 D.turgidum./08.fa.txt_orf01516_rev
E.coli./09.fa.txt_orf00229 D.turgidum./08.fa.txt_orf01515_rev
E.coli./09.fa.txt_orf00230_rev D.turgidum./08.fa.txt_orf01764_rev
E.coli./09.fa.txt_orf00232 D.turgidum./08.fa.txt_orf01514_rev
E.coli./09.fa.txt_orf00233 D.turgidum./08.fa.txt_orf01513_rev
E.coli./09.fa.txt_orf00234 D.turgidum./08.fa.txt_orf01509_rev
E.coli./09.fa.txt_orf00235 D.turgidum./08.fa.txt_orf01511_rev
E.coli./09.fa.txt_orf00237 D.turgidum./08.fa.txt_orf01510_rev
E.coli./09.fa.txt_orf00238 D.turgidum./08.fa.txt_orf01032
E.coli./09.fa.txt_orf00240 D.turgidum./08.fa.txt_orf01052
E.coli./09.fa.txt_orf00241 D.turgidum./08.fa.txt_orf01055
E.coli./09.fa.txt_orf00243 D.turgidum./08.fa.txt_orf01057
E.coli./09.fa.txt_orf00244 D.turgidum./08.fa.txt_orf01061
E.coli./09.fa.txt_orf00245 D.turgidum./08.fa.txt_orf01062
E.coli./09.fa.txt_orf00246 D.turgidum./08.fa.txt_orf01063
E.coli./09.fa.txt_orf00247 D.turgidum./08.fa.txt_orf01930_rev
E.coli./09.fa.txt_orf00249 D.turgidum./08.fa.txt_orf01762_rev
E.coli./09.fa.txt_orf00251 D.turgidum./08.fa.txt_orf01760_rev
E.coli./09.fa.txt_orf00254 D.turgidum./08.fa.txt_orf01786_rev
E.coli./09.fa.txt_orf00255 D.turgidum./08.fa.txt_orf01813_rev
E.coli./09.fa.txt_orf00256 D.turgidum./08.fa.txt_orf01116_rev
E.coli./09.fa.txt_orf00257_rev D.turgidum./08.fa.txt_orf00593
E.coli./09.fa.txt_orf00258_rev D.turgidum./08.fa.txt_orf00529
E.coli./09.fa.txt_orf00260 D.turgidum./08.fa.txt_orf01471
E.coli./09.fa.txt_orf00262 D.turgidum./08.fa.txt_orf01041
E.coli./09.fa.txt_orf00263 D.turgidum./08.fa.txt_orf00370_rev
E.coli./09.fa.txt_orf00264 D.turgidum./08.fa.txt_orf01872_rev
E.coli./09.fa.txt_orf00265_rev D.turgidum./08.fa.txt_orf01562_rev
E.coli./09.fa.txt_orf00266_rev D.turgidum./08.fa.txt_orf01755_rev
E.coli./09.fa.txt_orf00268_rev D.turgidum./08.fa.txt_orf01071
E.coli./09.fa.txt_orf00269_rev D.turgidum./08.fa.txt_orf00325_rev
E.coli./09.fa.txt_orf00270_rev D.turgidum./08.fa.txt_orf01453
E.coli./09.fa.txt_orf00271_rev D.turgidum./08.fa.txt_orf00006_rev
E.coli./09.fa.txt_orf00272_rev D.turgidum./08.fa.txt_orf01331
E.coli./09.fa.txt_orf00273_rev D.turgidum./08.fa.txt_orf01332
E.coli./09.fa.txt_orf00274 D.turgidum./08.fa.txt_orf00935_rev
E.coli./09.fa.txt_orf00276 D.turgidum./08.fa.txt_orf00972
E.coli./09.fa.txt_orf00278 D.turgidum./08.fa.txt_orf00736
E.coli./09.fa.txt_orf00280_rev D.turgidum./08.fa.txt_orf02043
E.coli./09.fa.txt_orf00281 D.turgidum./08.fa.txt_orf00828_rev
E.coli./09.fa.txt_orf00282 D.turgidum./08.fa.txt_orf01408
E.coli./09.fa.txt_orf00284_rev D.turgidum./08.fa.txt_orf01144
E.coli./09.fa.txt_orf00285_rev D.turgidum./08.fa.txt_orf00359
E.coli./09.fa.txt_orf00286 D.turgidum./08.fa.txt_orf00726
E.coli./09.fa.txt_orf00287_rev D.turgidum./08.fa.txt_orf00568
E.coli./09.fa.txt_orf00289 D.turgidum./08.fa.txt_orf02105
E.coli./09.fa.txt_orf00291 D.turgidum./08.fa.txt_orf00920
E.coli./09.fa.txt_orf00292_rev D.turgidum./08.fa.txt_orf02272
E.coli./09.fa.txt_orf00293_rev D.turgidum./08.fa.txt_orf01924_rev
E.coli./09.fa.txt_orf00294_rev D.turgidum./08.fa.txt_orf00445
E.coli./09.fa.txt_orf00295_rev D.turgidum./08.fa.txt_orf02028_rev
E.coli./09.fa.txt_orf00297_rev D.turgidum./08.fa.txt_orf01178
E.coli./09.fa.txt_orf00300_rev D.turgidum./08.fa.txt_orf01431
E.coli./09.fa.txt_orf00304_rev D.turgidum./08.fa.txt_orf01152
E.coli./09.fa.txt_orf00305_rev D.turgidum./08.fa.txt_orf01566_rev
E.coli./09.fa.txt_orf00306_rev D.turgidum./08.fa.txt_orf00412_rev
E.coli./09.fa.txt_orf00307_rev D.turgidum./08.fa.txt_orf01677_rev
E.coli./09.fa.txt_orf00310_rev D.turgidum./08.fa.txt_orf02156_rev
E.coli./09.fa.txt_orf00311_rev D.turgidum./08.fa.txt_orf01453
E.coli./09.fa.txt_orf00313_rev D.turgidum./08.fa.txt_orf01476
E.coli./09.fa.txt_orf00316_rev D.turgidum./08.fa.txt_orf00913_rev
E.coli./09.fa.txt_orf00317_rev D.turgidum./08.fa.txt_orf00730
E.coli./09.fa.txt_orf00319 D.turgidum./08.fa.txt_orf01952_rev
E.coli./09.fa.txt_orf00320 D.turgidum./08.fa.txt_orf00823_rev
E.coli./09.fa.txt_orf00322 D.turgidum./08.fa.txt_orf00207_rev
E.coli./09.fa.txt_orf00324 D.turgidum./08.fa.txt_orf01162_rev
E.coli./09.fa.txt_orf00326 D.turgidum./08.fa.txt_orf01866_rev
E.coli./09.fa.txt_orf00328 D.turgidum./08.fa.txt_orf02031_rev
E.coli./09.fa.txt_orf00329 D.turgidum./08.fa.txt_orf00292_rev
E.coli./09.fa.txt_orf00331 D.turgidum./08.fa.txt_orf01576_rev
E.coli./09.fa.txt_orf00332 D.turgidum./08.fa.txt_orf00856_rev
E.coli./09.fa.txt_orf00333 D.turgidum./08.fa.txt_orf00859
E.coli./09.fa.txt_orf00334_rev D.turgidum./08.fa.txt_orf00477
E.coli./09.fa.txt_orf00335 D.turgidum./08.fa.txt_orf01160
E.coli./09.fa.txt_orf00336_rev D.turgidum./08.fa.txt_orf00543
E.coli./09.fa.txt_orf00337 D.turgidum./08.fa.txt_orf00935_rev
E.coli./09.fa.txt_orf00338 D.turgidum./08.fa.txt_orf01294
E.coli./09.fa.txt_orf00339_rev D.turgidum./08.fa.txt_orf00501
E.coli./09.fa.txt_orf00340_rev D.turgidum./08.fa.txt_orf02186_rev
E.coli./09.fa.txt_orf00341_rev D.turgidum./08.fa.txt_orf00234
E.coli./09.fa.txt_orf00342_rev D.turgidum./08.fa.txt_orf01581_rev
E.coli./09.fa.txt_orf00343 D.turgidum./08.fa.txt_orf00443_rev
E.coli./09.fa.txt_orf00345_rev D.turgidum./08.fa.txt_orf01544_rev
E.coli./09.fa.txt_orf00347_rev D.turgidum./08.fa.txt_orf00298_rev
E.coli./09.fa.txt_orf00348 D.turgidum./08.fa.txt_orf00639
E.coli./09.fa.txt_orf00349 D.turgidum./08.fa.txt_orf02013
E.coli./09.fa.txt_orf00350 D.turgidum./08.fa.txt_orf01391
E.coli./09.fa.txt_orf00352 D.turgidum./08.fa.txt_orf00167
E.coli./09.fa.txt_orf00354 D.turgidum./08.fa.txt_orf01782_rev
E.coli./09.fa.txt_orf00355_rev D.turgidum./08.fa.txt_orf00892_rev
E.coli./09.fa.txt_orf00356 D.turgidum./08.fa.txt_orf01803
E.coli./09.fa.txt_orf00357 D.turgidum./08.fa.txt_orf00666
E.coli./09.fa.txt_orf00358 D.turgidum./08.fa.txt_orf00397
E.coli./09.fa.txt_orf00361_rev D.turgidum./08.fa.txt_orf01164
E.coli./09.fa.txt_orf00362 D.turgidum./08.fa.txt_orf01076
E.coli./09.fa.txt_orf00363 D.turgidum./08.fa.txt_orf01653
E.coli./09.fa.txt_orf00364 D.turgidum./08.fa.txt_orf01832_rev
E.coli./09.fa.txt_orf00366_rev D.turgidum./08.fa.txt_orf02237
E.coli./09.fa.txt_orf00367_rev D.turgidum./08.fa.txt_orf01160
E.coli./09.fa.txt_orf00368 D.turgidum./08.fa.txt_orf02216_rev
E.coli./09.fa.txt_orf00369 D.turgidum./08.fa.txt_orf02005_rev
E.coli./09.fa.txt_orf00371 D.turgidum./08.fa.txt_orf01804
E.coli./09.fa.txt_orf00372 D.turgidum./08.fa.txt_orf00106
E.coli./09.fa.txt_orf00373 D.turgidum./08.fa.txt_orf01118
E.coli./09.fa.txt_orf00374_rev D.turgidum./08.fa.txt_orf01768_rev
E.coli./09.fa.txt_orf00375 D.turgidum./08.fa.txt_orf00248
E.coli./09.fa.txt_orf00376 D.turgidum./08.fa.txt_orf01830
E.coli./09.fa.txt_orf00377 D.turgidum./08.fa.txt_orf00099
E.coli./09.fa.txt_orf00378 D.turgidum./08.fa.txt_orf02055_rev
E.coli./09.fa.txt_orf00379 D.turgidum./08.fa.txt_orf01108
E.coli./09.fa.txt_orf00380 D.turgidum./08.fa.txt_orf01786_rev
E.coli./09.fa.txt_orf00381_rev D.turgidum./08.fa.txt_orf01621
E.coli./09.fa.txt_orf00382 D.turgidum./08.fa.txt_orf01920_rev
E.coli./09.fa.txt_orf00384 D.turgidum./08.fa.txt_orf01231_rev
E.coli./09.fa.txt_orf00385 D.turgidum./08.fa.txt_orf00968_rev
E.coli./09.fa.txt_orf00387 D.turgidum./08.fa.txt_orf02136
E.coli./09.fa.txt_orf00390 D.turgidum./08.fa.txt_orf02022_rev
E.coli./09.fa.txt_orf00391 D.turgidum./08.fa.txt_orf00243
E.coli./09.fa.txt_orf00392 D.turgidum./08.fa.txt_orf01073
E.coli./09.fa.txt_orf00393 D.turgidum./08.fa.txt_orf01437
E.coli./09.fa.txt_orf00395 D.turgidum./08.fa.txt_orf00018_rev
E.coli./09.fa.txt_orf00396 D.turgidum./08.fa.txt_orf02198_rev
E.coli./09.fa.txt_orf00399 D.turgidum./08.fa.txt_orf02002_rev
E.coli./09.fa.txt_orf00400 D.turgidum./08.fa.txt_orf00125_rev
E.coli./09.fa.txt_orf00401 D.turgidum./08.fa.txt_orf01503
E.coli./09.fa.txt_orf00403_rev D.turgidum./08.fa.txt_orf01973
E.coli./09.fa.txt_orf00405 D.turgidum./08.fa.txt_orf00206_rev
E.coli./09.fa.txt_orf00406 D.turgidum./08.fa.txt_orf00855_rev
E.coli./09.fa.txt_orf00408 D.turgidum./08.fa.txt_orf00319_rev
E.coli./09.fa.txt_orf00409 D.turgidum./08.fa.txt_orf00623
E.coli./09.fa.txt_orf00410 D.turgidum./08.fa.txt_orf01866_rev
E.coli./09.fa.txt_orf00411_rev D.turgidum./08.fa.txt_orf00211_rev
E.coli./09.fa.txt_orf00412_rev D.turgidum./08.fa.txt_orf00228_rev
E.coli./09.fa.txt_orf00413_rev D.turgidum./08.fa.txt_orf02005_rev
E.coli./09.fa.txt_orf00415_rev D.turgidum./08.fa.txt_orf01572_rev
E.coli./09.fa.txt_orf00417_rev D.turgidum./08.fa.txt_orf01521
E.coli./09.fa.txt_orf00419 D.turgidum./08.fa.txt_orf01762_rev
E.coli./09.fa.txt_orf00421_rev D.turgidum./08.fa.txt_orf01461
E.coli./09.fa.txt_orf00423_rev D.turgidum./08.fa.txt_orf01982_rev
E.coli./09.fa.txt_orf00424_rev D.turgidum./08.fa.txt_orf02089
E.coli./09.fa.txt_orf00425_rev D.turgidum./08.fa.txt_orf01102
E.coli./09.fa.txt_orf00426_rev D.turgidum./08.fa.txt_orf00505
E.coli./09.fa.txt_orf00427_rev D.turgidum./08.fa.txt_orf01706_rev
E.coli./09.fa.txt_orf00428_rev D.turgidum./08.fa.txt_orf01347_rev
E.coli./09.fa.txt_orf00429_rev D.turgidum./08.fa.txt_orf01273
E.coli./09.fa.txt_orf00430_rev D.turgidum./08.fa.txt_orf01037
E.coli./09.fa.txt_orf00432 D.turgidum./08.fa.txt_orf01597
E.coli./09.fa.txt_orf00433_rev D.turgidum./08.fa.txt_orf01593_rev
E.coli./09.fa.txt_orf00435_rev D.turgidum./08.fa.txt_orf01832_rev
E.coli./09.fa.txt_orf00437_rev D.turgidum./08.fa.txt_orf01052
E.coli./09.fa.txt_orf00438_rev D.turgidum./08.fa.txt_orf00685
E.coli./09.fa.txt_orf00439 D.turgidum./08.fa.txt_orf02008_rev
E.coli./09.fa.txt_orf00441 D.turgidum./08.fa.txt_orf01979_rev
E.coli./09.fa.txt_orf00444 D.turgidum./08.fa.txt_orf01383
E.coli./09.fa.txt_orf00446 D.turgidum./08.fa.txt_orf01143
E.coli./09.fa.txt_orf00447_rev D.turgidum./08.fa.txt_orf01364
E.coli./09.fa.txt_orf00449_rev D.turgidum./08.fa.txt_orf01194
E.coli./09.fa.txt_orf00450_rev D.turgidum./08.fa.txt_orf01931_rev
E.coli./09.fa.txt_orf00451_rev D.turgidum./08.fa.txt_orf00630
E.coli./09.fa.txt_orf00452_rev D.turgidum./08.fa.txt_orf00466
E.coli./09.fa.txt_orf00453 D.turgidum./08.fa.txt_orf00834
E.coli./09.fa.txt_orf00456 D.turgidum./08.fa.txt_orf01143
E.coli./09.fa.txt_orf00458 D.turgidum./08.fa.txt_orf00228_rev
E.coli./09.fa.txt_orf00459_rev D.turgidum./08.fa.txt_orf01172
E.coli./09.fa.txt_orf00461_rev D.turgidum./08.fa.txt_orf00464_rev
E.coli./09.fa.txt_orf00462 D.turgidum./08.fa.txt_orf01781_rev
E.coli./09.fa.txt_orf00463 D.turgidum./08.fa.txt_orf00989
E.coli./09.fa.txt_orf00464 D.turgidum./08.fa.txt_orf00627_rev
E.coli./09.fa.txt_orf00465 D.turgidum./08.fa.txt_orf01807
E.coli./09.fa.txt_orf00467 D.turgidum./08.fa.txt_orf00685
E.coli./09.fa.txt_orf00468 D.turgidum./08.fa.txt_orf01716_rev
E.coli./09.fa.txt_orf00470 D.turgidum./08.fa.txt_orf01359_rev
E.coli./09.fa.txt_orf00471 D.turgidum./08.fa.txt_orf02179_rev
E.coli./09.fa.txt_orf00472 D.turgidum./08.fa.txt_orf02156_rev
E.coli./09.fa.txt_orf00474 D.turgidum./08.fa.txt_orf00545
E.coli./09.fa.txt_orf00475 D.turgidum./08.fa.txt_orf00546
E.coli./09.fa.txt_orf00477 D.turgidum./08.fa.txt_orf02065
