E.coli./09.fa.txt_orf00002 Synechocystis./18.fa.txt_orf01331_rev
E.coli./09.fa.txt_orf00044 Synechocystis./18.fa.txt_orf04217
E.coli./09.fa.txt_orf00046 Synechocystis./18.fa.txt_orf01442
E.coli./09.fa.txt_orf00048_rev Synechocystis./18.fa.txt_orf02736
E.coli./09.fa.txt_orf00049 Synechocystis./18.fa.txt_orf05267
E.coli./09.fa.txt_orf00050_rev Synechocystis./18.fa.txt_orf03168_rev
E.coli./09.fa.txt_orf00051_rev Synechocystis./18.fa.txt_orf05214
E.coli./09.fa.txt_orf00052_rev Synechocystis./18.fa.txt_orf02725_rev
E.coli./09.fa.txt_orf00053_rev Synechocystis./18.fa.txt_orf02550_rev
E.coli./09.fa.txt_orf00054_rev Synechocystis./18.fa.txt_orf02350
E.coli./09.fa.txt_orf00055_rev Synechocystis./18.fa.txt_orf02745_rev
E.coli./09.fa.txt_orf00056 Synechocystis./18.fa.txt_orf04056_rev
E.coli./09.fa.txt_orf00057 Synechocystis./18.fa.txt_orf01546
E.coli./09.fa.txt_orf00058 Synechocystis./18.fa.txt_orf01080
E.coli./09.fa.txt_orf00059 Synechocystis./18.fa.txt_orf03842
E.coli./09.fa.txt_orf00061 Synechocystis./18.fa.txt_orf02586_rev
E.coli./09.fa.txt_orf00062 Synechocystis./18.fa.txt_orf00108
E.coli./09.fa.txt_orf00063 Synechocystis./18.fa.txt_orf04291
E.coli./09.fa.txt_orf00064 Synechocystis./18.fa.txt_orf03611
E.coli./09.fa.txt_orf00065_rev Synechocystis./18.fa.txt_orf03028_rev
E.coli./09.fa.txt_orf00066_rev Synechocystis./18.fa.txt_orf03804
E.coli./09.fa.txt_orf00067_rev Synechocystis./18.fa.txt_orf05262
E.coli./09.fa.txt_orf00068_rev Synechocystis./18.fa.txt_orf00890_rev
E.coli./09.fa.txt_orf00069_rev Synechocystis./18.fa.txt_orf04950_rev
E.coli./09.fa.txt_orf00070_rev Synechocystis./18.fa.txt_orf00781
E.coli./09.fa.txt_orf00071 Synechocystis./18.fa.txt_orf03472
E.coli./09.fa.txt_orf00072_rev Synechocystis./18.fa.txt_orf00847_rev
E.coli./09.fa.txt_orf00073_rev Synechocystis./18.fa.txt_orf00059
E.coli./09.fa.txt_orf00074_rev Synechocystis./18.fa.txt_orf01022
E.coli./09.fa.txt_orf00075_rev Synechocystis./18.fa.txt_orf05076_rev
E.coli./09.fa.txt_orf00076_rev Synechocystis./18.fa.txt_orf02725_rev
E.coli./09.fa.txt_orf00079_rev Synechocystis./18.fa.txt_orf02325
E.coli./09.fa.txt_orf00081 Synechocystis./18.fa.txt_orf01705
E.coli./09.fa.txt_orf00082 Synechocystis./18.fa.txt_orf00923
E.coli./09.fa.txt_orf00083_rev Synechocystis./18.fa.txt_orf04802
E.coli./09.fa.txt_orf00084_rev Synechocystis./18.fa.txt_orf04800
E.coli./09.fa.txt_orf00086_rev Synechocystis./18.fa.txt_orf05183
E.coli./09.fa.txt_orf00088_rev Synechocystis./18.fa.txt_orf05176
E.coli./09.fa.txt_orf00089 Synechocystis./18.fa.txt_orf01541
E.coli./09.fa.txt_orf00091 Synechocystis./18.fa.txt_orf04489
E.coli./09.fa.txt_orf00092_rev Synechocystis./18.fa.txt_orf02519_rev
E.coli./09.fa.txt_orf00093_rev Synechocystis./18.fa.txt_orf01951
E.coli./09.fa.txt_orf00094_rev Synechocystis./18.fa.txt_orf02374
E.coli./09.fa.txt_orf00095_rev Synechocystis./18.fa.txt_orf01633_rev
E.coli./09.fa.txt_orf00097 Synechocystis./18.fa.txt_orf02806
E.coli./09.fa.txt_orf00098 Synechocystis./18.fa.txt_orf00589_rev
E.coli./09.fa.txt_orf00100 Synechocystis./18.fa.txt_orf03623
E.coli./09.fa.txt_orf00101 Synechocystis./18.fa.txt_orf04967
E.coli./09.fa.txt_orf00102 Synechocystis./18.fa.txt_orf01489_rev
E.coli./09.fa.txt_orf00103 Synechocystis./18.fa.txt_orf04763_rev
E.coli./09.fa.txt_orf00104 Synechocystis./18.fa.txt_orf02530
E.coli./09.fa.txt_orf00105_rev Synechocystis./18.fa.txt_orf04545
E.coli./09.fa.txt_orf00106 Synechocystis./18.fa.txt_orf01120
E.coli./09.fa.txt_orf00107 Synechocystis./18.fa.txt_orf05013_rev
E.coli./09.fa.txt_orf00108 Synechocystis./18.fa.txt_orf03839_rev
E.coli./09.fa.txt_orf00109 Synechocystis./18.fa.txt_orf04270
E.coli./09.fa.txt_orf00110 Synechocystis./18.fa.txt_orf00946_rev
E.coli./09.fa.txt_orf00111 Synechocystis./18.fa.txt_orf01745
E.coli./09.fa.txt_orf00112 Synechocystis./18.fa.txt_orf00952
E.coli./09.fa.txt_orf00113 Synechocystis./18.fa.txt_orf00640_rev
E.coli./09.fa.txt_orf00114 Synechocystis./18.fa.txt_orf05077_rev
E.coli./09.fa.txt_orf00115 Synechocystis./18.fa.txt_orf03207_rev
E.coli./09.fa.txt_orf00116 Synechocystis./18.fa.txt_orf01576
E.coli./09.fa.txt_orf00117 Synechocystis./18.fa.txt_orf04377
E.coli./09.fa.txt_orf00118 Synechocystis./18.fa.txt_orf02508
E.coli./09.fa.txt_orf00119 Synechocystis./18.fa.txt_orf02479_rev
E.coli./09.fa.txt_orf00120 Synechocystis./18.fa.txt_orf05005_rev
E.coli./09.fa.txt_orf00122 Synechocystis./18.fa.txt_orf03980_rev
E.coli./09.fa.txt_orf00124 Synechocystis./18.fa.txt_orf02804
E.coli./09.fa.txt_orf00127 Synechocystis./18.fa.txt_orf01630
E.coli./09.fa.txt_orf00128 Synechocystis./18.fa.txt_orf05268
E.coli./09.fa.txt_orf00129_rev Synechocystis./18.fa.txt_orf04630
E.coli./09.fa.txt_orf00130_rev Synechocystis./18.fa.txt_orf01005
E.coli./09.fa.txt_orf00131_rev Synechocystis./18.fa.txt_orf04272_rev
E.coli./09.fa.txt_orf00132 Synechocystis./18.fa.txt_orf04935
E.coli./09.fa.txt_orf00134_rev Synechocystis./18.fa.txt_orf04605
E.coli./09.fa.txt_orf00136_rev Synechocystis./18.fa.txt_orf02185_rev
E.coli./09.fa.txt_orf00138_rev Synechocystis./18.fa.txt_orf05253_rev
E.coli./09.fa.txt_orf00139_rev Synechocystis./18.fa.txt_orf03282
E.coli./09.fa.txt_orf00140 Synechocystis./18.fa.txt_orf00339_rev
E.coli./09.fa.txt_orf00141 Synechocystis./18.fa.txt_orf01094
E.coli./09.fa.txt_orf00142_rev Synechocystis./18.fa.txt_orf03611
E.coli./09.fa.txt_orf00143 Synechocystis./18.fa.txt_orf04601
E.coli./09.fa.txt_orf00144 Synechocystis./18.fa.txt_orf00810
E.coli./09.fa.txt_orf00145_rev Synechocystis./18.fa.txt_orf02225_rev
E.coli./09.fa.txt_orf00146 Synechocystis./18.fa.txt_orf03911_rev
E.coli./09.fa.txt_orf00148 Synechocystis./18.fa.txt_orf04576
E.coli./09.fa.txt_orf00150 Synechocystis./18.fa.txt_orf03269_rev
E.coli./09.fa.txt_orf00152_rev Synechocystis./18.fa.txt_orf02189
E.coli./09.fa.txt_orf00153 Synechocystis./18.fa.txt_orf00627_rev
E.coli./09.fa.txt_orf00155 Synechocystis./18.fa.txt_orf02768_rev
E.coli./09.fa.txt_orf00156_rev Synechocystis./18.fa.txt_orf02470
E.coli./09.fa.txt_orf00157_rev Synechocystis./18.fa.txt_orf00032
E.coli./09.fa.txt_orf00158_rev Synechocystis./18.fa.txt_orf04500_rev
E.coli./09.fa.txt_orf00159 Synechocystis./18.fa.txt_orf03366
E.coli./09.fa.txt_orf00161_rev Synechocystis./18.fa.txt_orf00536_rev
E.coli./09.fa.txt_orf00162 Synechocystis./18.fa.txt_orf01439
E.coli./09.fa.txt_orf00163_rev Synechocystis./18.fa.txt_orf01973_rev
E.coli./09.fa.txt_orf00164 Synechocystis./18.fa.txt_orf05026_rev
E.coli./09.fa.txt_orf00166 Synechocystis./18.fa.txt_orf03392
E.coli./09.fa.txt_orf00167 Synechocystis./18.fa.txt_orf01747_rev
E.coli./09.fa.txt_orf00168 Synechocystis./18.fa.txt_orf04846
E.coli./09.fa.txt_orf00170_rev Synechocystis./18.fa.txt_orf03171_rev
E.coli./09.fa.txt_orf00171 Synechocystis./18.fa.txt_orf04603
E.coli./09.fa.txt_orf00173 Synechocystis./18.fa.txt_orf00499_rev
E.coli./09.fa.txt_orf00174_rev Synechocystis./18.fa.txt_orf01975
E.coli./09.fa.txt_orf00175_rev Synechocystis./18.fa.txt_orf04141
E.coli./09.fa.txt_orf00176_rev Synechocystis./18.fa.txt_orf02725_rev
E.coli./09.fa.txt_orf00177_rev Synechocystis./18.fa.txt_orf02117
E.coli./09.fa.txt_orf00178_rev Synechocystis./18.fa.txt_orf05225
E.coli./09.fa.txt_orf00179 Synechocystis./18.fa.txt_orf04332_rev
E.coli./09.fa.txt_orf00180_rev Synechocystis./18.fa.txt_orf04285
E.coli./09.fa.txt_orf00181_rev Synechocystis./18.fa.txt_orf02973_rev
E.coli./09.fa.txt_orf00182_rev Synechocystis./18.fa.txt_orf02403_rev
E.coli./09.fa.txt_orf00183 Synechocystis./18.fa.txt_orf02343
E.coli./09.fa.txt_orf00184_rev Synechocystis./18.fa.txt_orf03218
E.coli./09.fa.txt_orf00185 Synechocystis./18.fa.txt_orf03567
E.coli./09.fa.txt_orf00186_rev Synechocystis./18.fa.txt_orf02108
E.coli./09.fa.txt_orf00187_rev Synechocystis./18.fa.txt_orf01803_rev
E.coli./09.fa.txt_orf00188_rev Synechocystis./18.fa.txt_orf04952
E.coli./09.fa.txt_orf00190_rev Synechocystis./18.fa.txt_orf04329
E.coli./09.fa.txt_orf00191_rev Synechocystis./18.fa.txt_orf02922
E.coli./09.fa.txt_orf00192_rev Synechocystis./18.fa.txt_orf04863
E.coli./09.fa.txt_orf00193 Synechocystis./18.fa.txt_orf02670
E.coli./09.fa.txt_orf00194 Synechocystis./18.fa.txt_orf04440
E.coli./09.fa.txt_orf00196_rev Synechocystis./18.fa.txt_orf01537_rev
E.coli./09.fa.txt_orf00198 Synechocystis./18.fa.txt_orf01702
E.coli./09.fa.txt_orf00200 Synechocystis./18.fa.txt_orf01710_rev
E.coli./09.fa.txt_orf00201 Synechocystis./18.fa.txt_orf01693_rev
E.coli./09.fa.txt_orf00203 Synechocystis./18.fa.txt_orf01688_rev
E.coli./09.fa.txt_orf00206_rev Synechocystis./18.fa.txt_orf01234_rev
E.coli./09.fa.txt_orf00207 Synechocystis./18.fa.txt_orf00423
E.coli./09.fa.txt_orf00208 Synechocystis./18.fa.txt_orf04494
E.coli./09.fa.txt_orf00209_rev Synechocystis./18.fa.txt_orf04094_rev
E.coli./09.fa.txt_orf00211_rev Synechocystis./18.fa.txt_orf01708_rev
E.coli./09.fa.txt_orf00212_rev Synechocystis./18.fa.txt_orf01596_rev
E.coli./09.fa.txt_orf00213 Synechocystis./18.fa.txt_orf01300_rev
E.coli./09.fa.txt_orf00216 Synechocystis./18.fa.txt_orf01652
E.coli./09.fa.txt_orf00218 Synechocystis./18.fa.txt_orf01772_rev
E.coli./09.fa.txt_orf00219_rev Synechocystis./18.fa.txt_orf00830
E.coli./09.fa.txt_orf00222_rev Synechocystis./18.fa.txt_orf01156
E.coli./09.fa.txt_orf00224_rev Synechocystis./18.fa.txt_orf04922
E.coli./09.fa.txt_orf00226_rev Synechocystis./18.fa.txt_orf03777_rev
E.coli./09.fa.txt_orf00227 Synechocystis./18.fa.txt_orf03535_rev
E.coli./09.fa.txt_orf00229 Synechocystis./18.fa.txt_orf03533_rev
E.coli./09.fa.txt_orf00230_rev Synechocystis./18.fa.txt_orf00392_rev
E.coli./09.fa.txt_orf00232 Synechocystis./18.fa.txt_orf00980_rev
E.coli./09.fa.txt_orf00233 Synechocystis./18.fa.txt_orf00979_rev
E.coli./09.fa.txt_orf00234 Synechocystis./18.fa.txt_orf01231_rev
E.coli./09.fa.txt_orf00235 Synechocystis./18.fa.txt_orf02650
E.coli./09.fa.txt_orf00237 Synechocystis./18.fa.txt_orf03094
E.coli./09.fa.txt_orf00238 Synechocystis./18.fa.txt_orf05132_rev
E.coli./09.fa.txt_orf00240 Synechocystis./18.fa.txt_orf03578_rev
E.coli./09.fa.txt_orf00241 Synechocystis./18.fa.txt_orf03762
E.coli./09.fa.txt_orf00243 Synechocystis./18.fa.txt_orf03204_rev
E.coli./09.fa.txt_orf00244 Synechocystis./18.fa.txt_orf04925_rev
E.coli./09.fa.txt_orf00245 Synechocystis./18.fa.txt_orf01682_rev
E.coli./09.fa.txt_orf00246 Synechocystis./18.fa.txt_orf00544_rev
E.coli./09.fa.txt_orf00247 Synechocystis./18.fa.txt_orf03307_rev
E.coli./09.fa.txt_orf00249 Synechocystis./18.fa.txt_orf01918
E.coli./09.fa.txt_orf00251 Synechocystis./18.fa.txt_orf04668_rev
E.coli./09.fa.txt_orf00254 Synechocystis./18.fa.txt_orf03779_rev
E.coli./09.fa.txt_orf00255 Synechocystis./18.fa.txt_orf02826
E.coli./09.fa.txt_orf00256 Synechocystis./18.fa.txt_orf05059_rev
E.coli./09.fa.txt_orf00257_rev Synechocystis./18.fa.txt_orf04281_rev
E.coli./09.fa.txt_orf00258_rev Synechocystis./18.fa.txt_orf04020
E.coli./09.fa.txt_orf00260 Synechocystis./18.fa.txt_orf02502
E.coli./09.fa.txt_orf00262 Synechocystis./18.fa.txt_orf02873_rev
E.coli./09.fa.txt_orf00263 Synechocystis./18.fa.txt_orf04219
E.coli./09.fa.txt_orf00264 Synechocystis./18.fa.txt_orf04100_rev
E.coli./09.fa.txt_orf00265_rev Synechocystis./18.fa.txt_orf01120
E.coli./09.fa.txt_orf00266_rev Synechocystis./18.fa.txt_orf00678
E.coli./09.fa.txt_orf00268_rev Synechocystis./18.fa.txt_orf02350
E.coli./09.fa.txt_orf00269_rev Synechocystis./18.fa.txt_orf03513
E.coli./09.fa.txt_orf00270_rev Synechocystis./18.fa.txt_orf03628_rev
E.coli./09.fa.txt_orf00271_rev Synechocystis./18.fa.txt_orf01038_rev
E.coli./09.fa.txt_orf00272_rev Synechocystis./18.fa.txt_orf02552
E.coli./09.fa.txt_orf00273_rev Synechocystis./18.fa.txt_orf04802
E.coli./09.fa.txt_orf00274 Synechocystis./18.fa.txt_orf04055_rev
E.coli./09.fa.txt_orf00276 Synechocystis./18.fa.txt_orf04064_rev
E.coli./09.fa.txt_orf00278 Synechocystis./18.fa.txt_orf03297
E.coli./09.fa.txt_orf00280_rev Synechocystis./18.fa.txt_orf02888
E.coli./09.fa.txt_orf00281 Synechocystis./18.fa.txt_orf02906_rev
E.coli./09.fa.txt_orf00282 Synechocystis./18.fa.txt_orf01186_rev
E.coli./09.fa.txt_orf00284_rev Synechocystis./18.fa.txt_orf00971
E.coli./09.fa.txt_orf00285_rev Synechocystis./18.fa.txt_orf02072
E.coli./09.fa.txt_orf00286 Synechocystis./18.fa.txt_orf01704
E.coli./09.fa.txt_orf00287_rev Synechocystis./18.fa.txt_orf04062
E.coli./09.fa.txt_orf00289 Synechocystis./18.fa.txt_orf00423
E.coli./09.fa.txt_orf00291 Synechocystis./18.fa.txt_orf03540_rev
E.coli./09.fa.txt_orf00292_rev Synechocystis./18.fa.txt_orf00570
E.coli./09.fa.txt_orf00293_rev Synechocystis./18.fa.txt_orf04763_rev
E.coli./09.fa.txt_orf00294_rev Synechocystis./18.fa.txt_orf03489
E.coli./09.fa.txt_orf00295_rev Synechocystis./18.fa.txt_orf04678
E.coli./09.fa.txt_orf00297_rev Synechocystis./18.fa.txt_orf05280
E.coli./09.fa.txt_orf00300_rev Synechocystis./18.fa.txt_orf02986
E.coli./09.fa.txt_orf00304_rev Synechocystis./18.fa.txt_orf00982
E.coli./09.fa.txt_orf00305_rev Synechocystis./18.fa.txt_orf03461_rev
E.coli./09.fa.txt_orf00306_rev Synechocystis./18.fa.txt_orf05050_rev
E.coli./09.fa.txt_orf00307_rev Synechocystis./18.fa.txt_orf00268
E.coli./09.fa.txt_orf00309_rev Synechocystis./18.fa.txt_orf05024_rev
E.coli./09.fa.txt_orf00310_rev Synechocystis./18.fa.txt_orf01632_rev
E.coli./09.fa.txt_orf00311_rev Synechocystis./18.fa.txt_orf02325
E.coli./09.fa.txt_orf00313_rev Synechocystis./18.fa.txt_orf02081
E.coli./09.fa.txt_orf00314_rev Synechocystis./18.fa.txt_orf02253_rev
E.coli./09.fa.txt_orf00316_rev Synechocystis./18.fa.txt_orf01391
E.coli./09.fa.txt_orf00317_rev Synechocystis./18.fa.txt_orf03474
E.coli./09.fa.txt_orf00319 Synechocystis./18.fa.txt_orf02270_rev
E.coli./09.fa.txt_orf00320 Synechocystis./18.fa.txt_orf03517_rev
E.coli./09.fa.txt_orf00322 Synechocystis./18.fa.txt_orf03198_rev
E.coli./09.fa.txt_orf00324 Synechocystis./18.fa.txt_orf05081_rev
E.coli./09.fa.txt_orf00326 Synechocystis./18.fa.txt_orf04564_rev
E.coli./09.fa.txt_orf00328 Synechocystis./18.fa.txt_orf03496
E.coli./09.fa.txt_orf00329 Synechocystis./18.fa.txt_orf01837_rev
E.coli./09.fa.txt_orf00331 Synechocystis./18.fa.txt_orf01595_rev
E.coli./09.fa.txt_orf00332 Synechocystis./18.fa.txt_orf02818
E.coli./09.fa.txt_orf00333 Synechocystis./18.fa.txt_orf02859
E.coli./09.fa.txt_orf00334_rev Synechocystis./18.fa.txt_orf01295_rev
E.coli./09.fa.txt_orf00335 Synechocystis./18.fa.txt_orf00233
E.coli./09.fa.txt_orf00336_rev Synechocystis./18.fa.txt_orf04244_rev
E.coli./09.fa.txt_orf00337 Synechocystis./18.fa.txt_orf04056_rev
E.coli./09.fa.txt_orf00338 Synechocystis./18.fa.txt_orf04786_rev
E.coli./09.fa.txt_orf00339_rev Synechocystis./18.fa.txt_orf02579
E.coli./09.fa.txt_orf00340_rev Synechocystis./18.fa.txt_orf02158_rev
E.coli./09.fa.txt_orf00341_rev Synechocystis./18.fa.txt_orf03143
E.coli./09.fa.txt_orf00342_rev Synechocystis./18.fa.txt_orf05059_rev
E.coli./09.fa.txt_orf00343 Synechocystis./18.fa.txt_orf00678
E.coli./09.fa.txt_orf00345_rev Synechocystis./18.fa.txt_orf00405_rev
E.coli./09.fa.txt_orf00347_rev Synechocystis./18.fa.txt_orf00084_rev
E.coli./09.fa.txt_orf00348 Synechocystis./18.fa.txt_orf04823
E.coli./09.fa.txt_orf00349 Synechocystis./18.fa.txt_orf05028_rev
E.coli./09.fa.txt_orf00350 Synechocystis./18.fa.txt_orf02816
E.coli./09.fa.txt_orf00352 Synechocystis./18.fa.txt_orf01967
E.coli./09.fa.txt_orf00354 Synechocystis./18.fa.txt_orf02873_rev
E.coli./09.fa.txt_orf00355_rev Synechocystis./18.fa.txt_orf05247
E.coli./09.fa.txt_orf00356 Synechocystis./18.fa.txt_orf01171
E.coli./09.fa.txt_orf00357 Synechocystis./18.fa.txt_orf04584_rev
E.coli./09.fa.txt_orf00358 Synechocystis./18.fa.txt_orf00390_rev
E.coli./09.fa.txt_orf00361_rev Synechocystis./18.fa.txt_orf01382_rev
E.coli./09.fa.txt_orf00362 Synechocystis./18.fa.txt_orf03738_rev
E.coli./09.fa.txt_orf00363 Synechocystis./18.fa.txt_orf00694_rev
E.coli./09.fa.txt_orf00364 Synechocystis./18.fa.txt_orf00032
E.coli./09.fa.txt_orf00366_rev Synechocystis./18.fa.txt_orf02066
E.coli./09.fa.txt_orf00367_rev Synechocystis./18.fa.txt_orf00361_rev
E.coli./09.fa.txt_orf00368 Synechocystis./18.fa.txt_orf04998_rev
E.coli./09.fa.txt_orf00369 Synechocystis./18.fa.txt_orf04325_rev
E.coli./09.fa.txt_orf00371 Synechocystis./18.fa.txt_orf01219_rev
E.coli./09.fa.txt_orf00372 Synechocystis./18.fa.txt_orf00119_rev
E.coli./09.fa.txt_orf00373 Synechocystis./18.fa.txt_orf01871
E.coli./09.fa.txt_orf00374_rev Synechocystis./18.fa.txt_orf02670
E.coli./09.fa.txt_orf00375 Synechocystis./18.fa.txt_orf01938_rev
E.coli./09.fa.txt_orf00376 Synechocystis./18.fa.txt_orf02816
E.coli./09.fa.txt_orf00377 Synechocystis./18.fa.txt_orf02597_rev
E.coli./09.fa.txt_orf00378 Synechocystis./18.fa.txt_orf02828
E.coli./09.fa.txt_orf00379 Synechocystis./18.fa.txt_orf01722
E.coli./09.fa.txt_orf00380 Synechocystis./18.fa.txt_orf01798_rev
E.coli./09.fa.txt_orf00381_rev Synechocystis./18.fa.txt_orf00340_rev
E.coli./09.fa.txt_orf00382 Synechocystis./18.fa.txt_orf00065_rev
E.coli./09.fa.txt_orf00384 Synechocystis./18.fa.txt_orf00826_rev
E.coli./09.fa.txt_orf00385 Synechocystis./18.fa.txt_orf04244_rev
E.coli./09.fa.txt_orf00387 Synechocystis./18.fa.txt_orf01867
E.coli./09.fa.txt_orf00390 Synechocystis./18.fa.txt_orf00620_rev
E.coli./09.fa.txt_orf00391 Synechocystis./18.fa.txt_orf03888_rev
E.coli./09.fa.txt_orf00392 Synechocystis./18.fa.txt_orf04123_rev
E.coli./09.fa.txt_orf00393 Synechocystis./18.fa.txt_orf03884_rev
E.coli./09.fa.txt_orf00395 Synechocystis./18.fa.txt_orf03319_rev
E.coli./09.fa.txt_orf00396 Synechocystis./18.fa.txt_orf02928_rev
E.coli./09.fa.txt_orf00399 Synechocystis./18.fa.txt_orf03357_rev
E.coli./09.fa.txt_orf00400 Synechocystis./18.fa.txt_orf00864
E.coli./09.fa.txt_orf00401 Synechocystis./18.fa.txt_orf03792_rev
E.coli./09.fa.txt_orf00403_rev Synechocystis./18.fa.txt_orf00634_rev
E.coli./09.fa.txt_orf00405 Synechocystis./18.fa.txt_orf03466_rev
E.coli./09.fa.txt_orf00406 Synechocystis./18.fa.txt_orf00132_rev
E.coli./09.fa.txt_orf00408 Synechocystis./18.fa.txt_orf03499
E.coli./09.fa.txt_orf00409 Synechocystis./18.fa.txt_orf00576
E.coli./09.fa.txt_orf00410 Synechocystis./18.fa.txt_orf02614_rev
E.coli./09.fa.txt_orf00411_rev Synechocystis./18.fa.txt_orf02888
E.coli./09.fa.txt_orf00412_rev Synechocystis./18.fa.txt_orf04932
E.coli./09.fa.txt_orf00413_rev Synechocystis./18.fa.txt_orf00820_rev
E.coli./09.fa.txt_orf00415_rev Synechocystis./18.fa.txt_orf00129_rev
E.coli./09.fa.txt_orf00417_rev Synechocystis./18.fa.txt_orf05172_rev
E.coli./09.fa.txt_orf00419 Synechocystis./18.fa.txt_orf01135
E.coli./09.fa.txt_orf00421_rev Synechocystis./18.fa.txt_orf04632_rev
E.coli./09.fa.txt_orf00423_rev Synechocystis./18.fa.txt_orf03846
E.coli./09.fa.txt_orf00424_rev Synechocystis./18.fa.txt_orf00745_rev
E.coli./09.fa.txt_orf00425_rev Synechocystis./18.fa.txt_orf03935_rev
E.coli./09.fa.txt_orf00426_rev Synechocystis./18.fa.txt_orf04292
E.coli./09.fa.txt_orf00427_rev Synechocystis./18.fa.txt_orf00217
E.coli./09.fa.txt_orf00428_rev Synechocystis./18.fa.txt_orf02783_rev
E.coli./09.fa.txt_orf00429_rev Synechocystis./18.fa.txt_orf04242
E.coli./09.fa.txt_orf00430_rev Synechocystis./18.fa.txt_orf03927_rev
E.coli./09.fa.txt_orf00432 Synechocystis./18.fa.txt_orf03520
E.coli./09.fa.txt_orf00433_rev Synechocystis./18.fa.txt_orf00430
E.coli./09.fa.txt_orf00435_rev Synechocystis./18.fa.txt_orf04143
E.coli./09.fa.txt_orf00437_rev Synechocystis./18.fa.txt_orf03073_rev
E.coli./09.fa.txt_orf00438_rev Synechocystis./18.fa.txt_orf02406_rev
E.coli./09.fa.txt_orf00439 Synechocystis./18.fa.txt_orf00430
E.coli./09.fa.txt_orf00441 Synechocystis./18.fa.txt_orf04266
E.coli./09.fa.txt_orf00444 Synechocystis./18.fa.txt_orf04266
E.coli./09.fa.txt_orf00446 Synechocystis./18.fa.txt_orf00408_rev
E.coli./09.fa.txt_orf00447_rev Synechocystis./18.fa.txt_orf01632_rev
E.coli./09.fa.txt_orf00449_rev Synechocystis./18.fa.txt_orf05121_rev
E.coli./09.fa.txt_orf00450_rev Synechocystis./18.fa.txt_orf01080
E.coli./09.fa.txt_orf00451_rev Synechocystis./18.fa.txt_orf00906_rev
E.coli./09.fa.txt_orf00452_rev Synechocystis./18.fa.txt_orf02751
E.coli./09.fa.txt_orf00453 Synechocystis./18.fa.txt_orf04695_rev
E.coli./09.fa.txt_orf00456 Synechocystis./18.fa.txt_orf02270_rev
E.coli./09.fa.txt_orf00458 Synechocystis./18.fa.txt_orf03628_rev
E.coli./09.fa.txt_orf00459_rev Synechocystis./18.fa.txt_orf00793
E.coli./09.fa.txt_orf00461_rev Synechocystis./18.fa.txt_orf03891_rev
E.coli./09.fa.txt_orf00462 Synechocystis./18.fa.txt_orf02818
E.coli./09.fa.txt_orf00463 Synechocystis./18.fa.txt_orf04332_rev
E.coli./09.fa.txt_orf00464 Synechocystis./18.fa.txt_orf00458
E.coli./09.fa.txt_orf00465 Synechocystis./18.fa.txt_orf03049
E.coli./09.fa.txt_orf00467 Synechocystis./18.fa.txt_orf00205_rev
E.coli./09.fa.txt_orf00468 Synechocystis./18.fa.txt_orf04854_rev
